Field Name,Description,Format
ocid,"A globally unique identifier for this Open Contracting Process. Composed of a publisher prefix and an identifier for the contracting process. For more information see the <a href=""http://ocds.open-contracting.org/standard/r/1__0__rc/en/key_concepts/identifiers/#ocid"">Open Contracting Identifier guidance</a>",
id,A unique identifier that identifies this release. A releaseID must be unique within a release-package and must not contain the # character.,
date,"The date this information is released, it may well be the same as the parent publishedDate, it must not be later than the publishedDate from the parent package. It is used to determine merge order.",date-time
tag,"A value from the <a href=""http://ocds.open-contracting.org/standard/r/1__0__rc/en/schema/codelists#release-tag"">releaseTag codelist</a> that identifies the nature of the release being made. Tags may be used to filter release, or, in future, for for advanced validation when certain kinds of releases should contain certain fields.",Array
initiationType,"String specifying the type of initiation process used for this contract, taken from the <a href=""http://ocds.open-contracting.org/standard/r/1__0__rc/en/schema/codelists#initiation-type"">initiationType</a> codelist. Currently only tender is supported.",
planning,"Information from the planning phase of the contracting process. This includes information related to the process of deciding what to contract for, when and how. See Planning",Reference
tender,The activities undertaken in order to enter into a contract. See Tender,Reference
buyer,The buyer is the entity whose budget will be used to purchase the goods. This may be different from the procuring agency who may be specified in the tender data. See Organization,Reference
awards,"Information from the award phase of the contracting process. There may be more than one award per contracting process e.g. because the contract is split amongst different providers, or because it is a standing offer. See Award section for further details.",Object Array
contracts,Information from the contract creation phase of the procurement process. See Contract section for further details.,Object Array
language,"Specifies the default language of the data using either two-digit ISO 639-1, or extended BCP47 language tags. The use of two-letter codes from ISO 639-1 is strongly recommended.",
