Field Name,Description,Format
id,"The identifier for this award. It must be unique and cannot change within the Open Contracting Process it is part of (defined by a single ocid). See the <a href=""http://ocds.open-contracting.org/standard/r/1__0__0/en/key_concepts/identifiers/"">identifier guidance</a> for further details."," string, integer"
title,Award title, string
description,Award description, string
status,"The current status of the award drawn from the <a href=""http://ocds.open-contracting.org/standard/r/1__0__0/en/schema/codelists/#award-status"">awardStatus codelist</a>", string
date,The date of the contract award. This is usually the date on which a decision to award was made.,date-time string
value,"The total value of this award. In the case of a framework contract this may be the total estimated lifetime value, or maximum value, of the agreement. There may be more than one award per procurement. See <a href=""#value"">Value</a>",Reference
suppliers,"The suppliers awarded this award. If different suppliers have been awarded different items of values, these should be split into separate award blocks. See <a href=""#organization"">Organization</a> section for further details.",Object Array
items,"The goods and services awarded in this award, broken into line items wherever possible. Items should not be duplicated, but the quantity specified instead. See <a href=""#item"">Item</a> section for further details.",Object Array
contractPeriod,"The period for which the contract has been awarded. See <a href=""#period"">Period</a>",Reference
documents,"All documents and attachments related to the award, including any notices. See <a href=""#document"">Document</a> section for further details.",Object Array
amendment," See <a href=""#amendment"">Amendment</a>",Reference
